param_SVM__n_iter,train acc,test acc,,,,,,
1,0.754975042,0.748655036,,,,,,
4,0.78887125,0.79438599,,,,,,
7,0.802631513,0.795473802,,,,,,
10,0.803109356,0.791244954,,,Test,,Train,
13,0.806686271,0.797358348,,,Iteration,Accuracy,Iteration,Accuracy
16,0.809088058,0.798795966,,,1,0.748655036,1,0.754975042
19,0.809074441,0.801831329,,,4,0.79438599,4,0.78887125
22,0.809240356,0.800208972,,,7,0.795473802,7,0.802631513
25,0.808457916,0.80340218,,,10,0.791244954,10,0.803109356
28,0.808465877,0.80166398,,,13,0.797358348,13,0.806686271
31,0.811558767,0.801160605,,,16,0.798795966,16,0.809088058
34,0.808129962,0.803468796,,,19,0.801831329,19,0.809074441
37,0.810832051,0.804591389,,,22,0.800208972,22,0.809240356
40,0.811218139,0.805696591,,,25,0.80340218,25,0.808457916
43,0.814111911,0.80200723,,,28,0.80166398,28,0.808465877
46,0.811602865,0.801073652,,,31,0.801160605,31,0.811558767
49,0.811451509,0.803315227,,,34,0.803468796,34,0.808129962
52,0.81279716,0.80282202,,,37,0.804591389,37,0.810832051
55,0.805168316,0.79943685,,,40,0.805696591,40,0.811218139
58,0.813071695,0.808144571,,,43,0.80200723,43,0.814111911
61,0.805600281,0.798873416,,,46,0.801073652,46,0.811602865
64,0.80924507,0.798642397,,,49,0.803315227,49,0.811451509
67,0.80932101,0.800164022,,,52,0.80282202,52,0.81279716
70,0.810656814,0.802325201,,,55,0.79943685,55,0.805168316
73,0.809868718,0.803118989,,,58,0.808144571,58,0.813071695
,,,,,61,0.798873416,61,0.805600281
,,,,,64,0.798642397,64,0.80924507
,,,,,67,0.800164022,67,0.80932101
,,,,,70,0.802325201,70,0.810656814
,,,,,73,0.803118989,73,0.809868718